Pressure: Temperature: 
0.0009997458 0.9997457839
0.0010034236 1.0034236344
0.0010036032 1.0036032457
0.0010068417 1.0068416972
0.0010062952 1.0062952001
0.0010079862 1.0079861897
0.0010085146 1.0085146114
0.0010089198 1.0089198248
0.0010106489 1.0106488594
0.0010162261 1.0162261020
0.0010134395 1.0134395287
0.0010152541 1.0152540950
0.0010165489 1.0165488621
0.0010164705 1.0164704737
0.0010215873 1.0215873295
0.0010218857 1.0218857269
0.0010215328 1.0215328014
0.0010212439 1.0212439142
0.0010265132 1.0265131785
0.0010290301 1.0290301186
0.0010269490 1.0269490369
0.0010297896 1.0297895875
0.0010340577 1.0340576818
0.0010318182 1.0318182224
0.0010311667 1.0311667373
0.0010329838 1.0329838108
0.0010365924 1.0365924120
0.0010361753 1.0361752721
0.0010411457 1.0411457142
0.0010436975 1.0436974528
0.0010392287 1.0392286753
0.0010434528 1.0434527943
0.0010439109 1.0439109454
0.0010423234 1.0423233585
0.0010438197 1.0438197347
0.0010461022 1.0461021850
0.0010480320 1.0480320186
0.0010510219 1.0510219202
0.0010518539 1.0518538569
0.0010495988 1.0495988226
0.0010554652 1.0554652049
0.0010551746 1.0551746084
0.0010548611 1.0548610787
0.0010571038 1.0571037845
0.0010621624 1.0621624315
0.0010603443 1.0603442964
0.0010600139 1.0600139289
0.0010614995 1.0614995369
0.0010657221 1.0657221444
0.0010664859 1.0664859339
0.0010682758 1.0682757636
0.0010701046 1.0701045863
0.0010708916 1.0708915575
0.0010698767 1.0698767279
0.0010735209 1.0735208819
0.0010735733 1.0735732779
0.0010740422 1.0740421766
0.0010774971 1.0774971242
0.0010763108 1.0763107720
0.0010764615 1.0764614862
0.0010783873 1.0783872903
0.0010802797 1.0802797011
0.0010817696 1.0817695970
0.0010863537 1.0863536536
0.0010876551 1.0876551140
0.0010864854 1.0864853784
0.0010880770 1.0880769501
0.0010918296 1.0918295916
0.0010915240 1.0915240369
0.0010988693 1.0988693131
0.0010954559 1.0954558834
0.0010960148 1.0960148228
0.0010953699 1.0953698789
0.0010988625 1.0988624976
0.0010991551 1.0991550559
0.0010984212 1.0984211605
0.0011009333 1.1009333117
0.0011024294 1.1024294384
0.0011038672 1.1038672445
0.0011042499 1.1042498895
0.0011056175 1.1056174507
0.0011103433 1.1103433204
0.0011109724 1.1109723852
0.0011127229 1.1127229343
0.0011144430 1.1144429571
0.0011127671 1.1127671485
0.0011158827 1.1158827112
0.0011173583 1.1173582585
0.0011192132 1.1192131908
0.0011191069 1.1191068765
0.0011194304 1.1194303636
0.0011231604 1.1231604195
0.0011226038 1.1226037678
0.0011246306 1.1246305940
0.0011260177 1.1260177072
0.0011259772 1.1259772281
0.0011321252 1.1321251562
0.0011278279 1.1278278612
0.0011300010 1.1300009913
0.0011301019 1.1301019041
0.0011350506 1.1350506258
0.0011327942 1.1327941595
